Source,Target,Date,Preuves,Mea Culpa ?
Aaron Bay-Schuck,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Aaron Sorkin,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Acermendax,"Discours validiste, psychophobes. Complotisme.",2021,,
Adam & Jackie Sandler,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Adam Berkowitz ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Adam Goodman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Adam Levine,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Adee Drexler ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Adelaïde de Lesquen,CF malorie nataf,,,
Adrien Quatennens,Bat sa femme,09-2022,,
Alain Finkelkraut,Racisme Islamophobie,,,
Alain Pompidou,Soutien Fillon,2017,https://www.lefigaro.fr/vox/politique/2017/03/31/31001-20170331ARTFIG00372-alain-pompidou-pourquoi-je-voterai-francois-fillon.php,
Alain Soral,Anti-sémitisme,,,
Alan Grubman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Albéric Dumont,Manif pour tous,,,
Alex Aja,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Alex Edelman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Alexandra Shiva,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Alexandre Benalla,Violence sur manifestants,,,
Ali Wentworth,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Alison Statter,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Allan Loeb,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Allison Mack,Trafic d’êtres humains,,,
Alona Tal,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Altaïr,"Blagues racistes, homophobes, sexistes…",2021-2022,,
Amy Chozick,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Amy Pascal,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Amy Schumer,Antivax,10/2023,,
Amy Schumer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Amy Sherman Palladino,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
